"","Simulation","PosteriorProbs","Model"
"343","exp_n132.posterior_probs",0.0797369416476414,"gamma"
"344","exp_n132.posterior_probs",0.0408250845576993,"hill"
"345","exp_n132.posterior_probs",0.166986844186616,"log-logistic"
"346","exp_n132.posterior_probs",0.221305684364825,"log-probit"
"347","exp_n132.posterior_probs",0.244196223551292,"logistic"
"348","exp_n132.posterior_probs",0.00180774741322646,"multistage"
"349","exp_n132.posterior_probs",0.15596911849548,"probit"
"350","exp_n132.posterior_probs",0.00479608118270695,"qlinear"
"351","exp_n132.posterior_probs",0.0843762746005129,"weibull"
"352","exp_n133.posterior_probs",0.0708300405086006,"gamma"
"353","exp_n133.posterior_probs",0.0593141159073708,"hill"
"354","exp_n133.posterior_probs",0.193575727511768,"log-logistic"
"355","exp_n133.posterior_probs",0.216845601671194,"log-probit"
"356","exp_n133.posterior_probs",0.192392799692513,"logistic"
"357","exp_n133.posterior_probs",0.00208321734681624,"multistage"
"358","exp_n133.posterior_probs",0.146078314658978,"probit"
"359","exp_n133.posterior_probs",0.0195727996153004,"qlinear"
"360","exp_n133.posterior_probs",0.0993073830874597,"weibull"
"361","exp_n134.posterior_probs",0.0742435761278067,"gamma"
"362","exp_n134.posterior_probs",0.0855698663607965,"hill"
"363","exp_n134.posterior_probs",0.122207471651799,"log-logistic"
"364","exp_n134.posterior_probs",0.16039701920372,"log-probit"
"365","exp_n134.posterior_probs",0.0699935154375431,"logistic"
"366","exp_n134.posterior_probs",0.0156627486108035,"multistage"
"367","exp_n134.posterior_probs",0.191055012206952,"probit"
"368","exp_n134.posterior_probs",0.205971723327579,"qlinear"
"369","exp_n134.posterior_probs",0.0748990670730004,"weibull"
"370","exp_n135.posterior_probs",0.0772217276957072,"gamma"
"371","exp_n135.posterior_probs",0.0812119894523981,"hill"
"372","exp_n135.posterior_probs",0.161833758263589,"log-logistic"
"373","exp_n135.posterior_probs",0.168837765646666,"log-probit"
"374","exp_n135.posterior_probs",0.0668925205390064,"logistic"
"375","exp_n135.posterior_probs",0.0114343800482034,"multistage"
"376","exp_n135.posterior_probs",0.26953201953337,"probit"
"377","exp_n135.posterior_probs",0.0833643231897238,"qlinear"
"378","exp_n135.posterior_probs",0.0796715156313364,"weibull"
"379","exp_n136.posterior_probs",0.0663308745275773,"gamma"
"380","exp_n136.posterior_probs",0.0670780419657362,"hill"
"381","exp_n136.posterior_probs",0.231617241836214,"log-logistic"
"382","exp_n136.posterior_probs",0.178133832010029,"log-probit"
"383","exp_n136.posterior_probs",0.129143613873291,"logistic"
"384","exp_n136.posterior_probs",0.0033606592403555,"multistage"
"385","exp_n136.posterior_probs",0.200736859987139,"probit"
"386","exp_n136.posterior_probs",0.0374686572356006,"qlinear"
"387","exp_n136.posterior_probs",0.0861302193240572,"weibull"
"388","exp_n137.posterior_probs",0.0707279919646868,"gamma"
"389","exp_n137.posterior_probs",0.0756523888996466,"hill"
"390","exp_n137.posterior_probs",0.219809730742413,"log-logistic"
"391","exp_n137.posterior_probs",0.174514180234705,"log-probit"
"392","exp_n137.posterior_probs",0.121182216814693,"logistic"
"393","exp_n137.posterior_probs",0.00441735451780246,"multistage"
"394","exp_n137.posterior_probs",0.20520658702881,"probit"
"395","exp_n137.posterior_probs",0.0501064895466032,"qlinear"
"396","exp_n137.posterior_probs",0.0783830602506394,"weibull"
"397","exp_n138.posterior_probs",0.059525688654951,"gamma"
"398","exp_n138.posterior_probs",0.0454174343743456,"hill"
"399","exp_n138.posterior_probs",0.199600260656437,"log-logistic"
"400","exp_n138.posterior_probs",0.211549822798407,"log-probit"
"401","exp_n138.posterior_probs",0.205017472125717,"logistic"
"402","exp_n138.posterior_probs",0.0019607403208535,"multistage"
"403","exp_n138.posterior_probs",0.149301546546226,"probit"
"404","exp_n138.posterior_probs",0.00794247149858843,"qlinear"
"405","exp_n138.posterior_probs",0.119684563024475,"weibull"
"406","exp_n139.posterior_probs",0.0575024985780545,"gamma"
"407","exp_n139.posterior_probs",0.0452669636745032,"hill"
"408","exp_n139.posterior_probs",0.204492059997207,"log-logistic"
"409","exp_n139.posterior_probs",0.237430779384057,"log-probit"
"410","exp_n139.posterior_probs",0.152685207964237,"logistic"
"411","exp_n139.posterior_probs",0.00261435429467373,"multistage"
"412","exp_n139.posterior_probs",0.207603760703425,"probit"
"413","exp_n139.posterior_probs",0.00890892272070114,"qlinear"
"414","exp_n139.posterior_probs",0.0834954526831424,"weibull"
"415","exp_n14.posterior_probs",0.0684253625294304,"gamma"
"416","exp_n14.posterior_probs",0.07097551808121,"hill"
"417","exp_n14.posterior_probs",0.224451612230091,"log-logistic"
"418","exp_n14.posterior_probs",0.170189456719502,"log-probit"
"419","exp_n14.posterior_probs",0.101928496797758,"logistic"
"420","exp_n14.posterior_probs",0.00843101747091046,"multistage"
"421","exp_n14.posterior_probs",0.210295912061889,"probit"
"422","exp_n14.posterior_probs",0.0658273873118741,"qlinear"
"423","exp_n14.posterior_probs",0.0794752367973353,"weibull"
"424","exp_n140.posterior_probs",0.0643565310769512,"gamma"
"425","exp_n140.posterior_probs",0.0810548733933534,"hill"
"426","exp_n140.posterior_probs",0.174481481854915,"log-logistic"
"427","exp_n140.posterior_probs",0.141929553817837,"log-probit"
"428","exp_n140.posterior_probs",0.0577655466581254,"logistic"
"429","exp_n140.posterior_probs",0.00880397819539228,"multistage"
"430","exp_n140.posterior_probs",0.19159494093643,"probit"
"431","exp_n140.posterior_probs",0.210230297574074,"qlinear"
"432","exp_n140.posterior_probs",0.0697827964929215,"weibull"
"433","exp_n141.posterior_probs",0.0335015120057796,"gamma"
"434","exp_n141.posterior_probs",0.0581069273863648,"hill"
"435","exp_n141.posterior_probs",0.196859156894322,"log-logistic"
"436","exp_n141.posterior_probs",0.232291130832417,"log-probit"
"437","exp_n141.posterior_probs",0.207759559169228,"logistic"
"438","exp_n141.posterior_probs",0.00157116636360749,"multistage"
"439","exp_n141.posterior_probs",0.141492383333494,"probit"
"440","exp_n141.posterior_probs",0.015579267881255,"qlinear"
"441","exp_n141.posterior_probs",0.112838896133532,"weibull"
"442","exp_n142.posterior_probs",0.0739153673820392,"gamma"
"443","exp_n142.posterior_probs",0.0613856418459532,"hill"
"444","exp_n142.posterior_probs",0.202019524108357,"log-logistic"
"445","exp_n142.posterior_probs",0.205770996649808,"log-probit"
"446","exp_n142.posterior_probs",0.173939650062617,"logistic"
"447","exp_n142.posterior_probs",0.00284083541513815,"multistage"
"448","exp_n142.posterior_probs",0.163928320041992,"probit"
"449","exp_n142.posterior_probs",0.0265897659413543,"qlinear"
"450","exp_n142.posterior_probs",0.0896098985527404,"weibull"
"451","exp_n143.posterior_probs",0.0586768696784289,"gamma"
