"Dataset Index","Dose","N","Effect"
"exp_n828",0.820376367749046,30,3
"exp_n828",0.821081685162558,30,1
"exp_n828",0.860469222446509,30,28
"exp_n828",0.866073493624299,30,5
"exp_n828",0.867011554329946,5,0
"exp_n828",0.871005883573108,30,2
"exp_n828",0.892311893024472,17,3
"exp_n828",0.895653195026712,30,3
"exp_n828",0.898166656066326,73,0
"exp_n828",0.901140114399472,30,1
"exp_n828",0.916209540240007,30,2
"exp_n828",0.916631266759967,36,1
"exp_n828",0.917902479552913,2,1
"exp_n828",0.923272278203735,30,17
"exp_n828",0.94402175361715,30,28
"exp_n828",0.949202153082984,30,22
"exp_n828",0.961330239965622,30,13
"exp_n828",0.963840108722002,30,17
"exp_n828",0.966754505847582,30,21
"exp_n828",0.989467566923054,30,30
"exp_n828",1.01725243786798,4,1
"exp_n829",0,30,0
"exp_n829",0.698486225391826,2,0
"exp_n829",0.698890626945711,30,20
"exp_n829",0.716746082138363,30,3
"exp_n829",0.719040977979615,3,0
"exp_n829",0.726646902544814,30,22
"exp_n829",0.749729178638946,2,0
"exp_n829",0.754596391602725,30,13
"exp_n829",0.76133739197342,71,0
"exp_n829",0.766615865902039,30,2
"exp_n829",0.769021369168722,3,3
"exp_n829",0.781598228041033,30,9
"exp_n829",0.787545679822331,30,19
"exp_n829",0.801279818508361,30,30
"exp_n829",0.819899278567999,30,24
"exp_n829",0.821012931316413,4,0
"exp_n829",0.834370312664205,4,0
"exp_n829",0.837273110960518,30,6
"exp_n829",0.840617771141101,1,0
"exp_n829",0.842115479290885,30,0
"exp_n829",0.86598413392031,30,4
"exp_n829",0.875154286460696,5,0
"exp_n829",0.888502064323165,30,1
"exp_n829",0.90139878666876,30,30
"exp_n829",0.915183997750329,30,1
"exp_n829",0.922158808053112,30,2
"exp_n829",0.926925464977598,73,0
"exp_n829",0.927410330589298,30,1
"exp_n829",0.927873932769241,17,3
"exp_n829",0.9335665574505,36,1
"exp_n829",0.949389553116196,30,16
"exp_n829",0.951953592326794,2,2
"exp_n829",0.971769213281387,30,28
"exp_n829",0.989033446244663,30,17
"exp_n829",0.991567255377174,30,10
"exp_n829",0.992488852534551,30,20
"exp_n829",0.992788639280081,30,16
"exp_n829",1.01185323658914,30,27
"exp_n829",1.03093155533185,4,1
"exp_n83",0,30,0
"exp_n83",0.708507062031267,2,0
