"","set","Dose","N","Effect"
"490","exp_n110",0.000148308924315182,9,0
"491","exp_n110",0.000149540256779329,5,2
"492","exp_n110",0.000152963309177425,5,4
"493","exp_n110",0.000155118429787477,10,5
"494","exp_n110",0.000159146245646611,9,5
"495","exp_n110",0.000162843591815027,5,5
"496","exp_n110",0.000168202438509004,5,0
"497","exp_n110",0.000177540062543892,10,2
"498","exp_n110",0.000181470605841063,5,0
"499","exp_n110",0.000190820863880642,9,3
"500","exp_n110",0.000194724368338413,10,10
"501","exp_n110",0.00020829979994288,10,0
"502","exp_n110",0.000215515816025284,5,0
"503","exp_n110",0.000220025974775914,9,1
"504","exp_n110",0.000231106586291645,10,9
"505","exp_n110",0.000231529309334307,9,1
"506","exp_n110",0.000241960302266584,5,0
"507","exp_n110",0.000244975989768184,5,5
"508","exp_n110",0.000274674298174753,5,0
"509","exp_n110",0.000282654315184712,10,2
"510","exp_n110",0.000304704831722069,9,6
"511","exp_n111",0,282,18
"512","exp_n111",7.92796644671026e-05,10,6
"513","exp_n111",8.0338808961603e-05,5,5
"514","exp_n111",8.57521903949837e-05,9,9
"515","exp_n111",0.000120014882141364,5,0
"516","exp_n111",0.000120860272317855,9,0
"517","exp_n111",0.00012331274512435,10,3
"518","exp_n111",0.000125541058619318,5,3
"519","exp_n111",0.000129859184586009,9,6
"520","exp_n111",0.000135928124580011,10,8
"521","exp_n111",0.000140647719269943,5,0
"522","exp_n111",0.000141181439790209,9,0
"523","exp_n111",0.000143700909072504,10,3
"524","exp_n111",0.000144395674088179,9,3
"525","exp_n111",0.000146094543502189,5,2
"526","exp_n111",0.000147091028038428,5,4
"527","exp_n111",0.000148343597276055,10,8
"528","exp_n111",0.000151617471302376,9,7
"529","exp_n111",0.000155382330087301,5,5
"530","exp_n111",0.000169630962859868,10,2
"531","exp_n111",0.000169971877045165,5,0
"532","exp_n111",0.000178432451922821,5,0
"533","exp_n111",0.000183815454862144,9,0
"534","exp_n111",0.000187048175513646,10,10
"535","exp_n111",0.000210363649621147,10,0
"536","exp_n111",0.000216737970175491,5,0
"537","exp_n111",0.000227884159957366,9,3
"538","exp_n111",0.000228917063981092,5,2
"539","exp_n111",0.000230557399791641,5,5
"540","exp_n111",0.000239457249188767,5,1
"541","exp_n111",0.000239560408234935,10,9
"542","exp_n111",0.00024079173564815,9,3
"543","exp_n111",0.000258233639453109,9,7
"544","exp_n111",0.000294976091466534,10,3
"545","exp_n112",0,282,8
"546","exp_n112",7.9488112507779e-05,5,5
"547","exp_n112",7.98028503087682e-05,10,4
"548","exp_n112",8.27631141719122e-05,9,9
"549","exp_n112",0.000124012632460753,10,3
"550","exp_n112",0.000124919385645708,5,0
"551","exp_n112",0.000126521324365406,9,0
"552","exp_n112",0.000127034076469713,5,3
"553","exp_n112",0.000127372023876026,9,5
"554","exp_n112",0.000133422813267519,10,7
"555","exp_n112",0.000138532258426836,5,0
"556","exp_n112",0.000141149836250982,9,2
"557","exp_n112",0.000142912342281044,9,0
"558","exp_n112",0.000142989446471442,10,2
"559","exp_n112",0.000144379458670744,5,4
"560","exp_n112",0.000144381250625643,5,4
"561","exp_n112",0.000149212227821179,9,5
"562","exp_n112",0.000150242683371945,5,5
"563","exp_n112",0.00015181729328023,10,4
"564","exp_n112",0.000169027567429994,5,0
"565","exp_n112",0.000172844759804958,5,0
"566","exp_n112",0.000177254922395978,10,1
"567","exp_n112",0.000180788486557481,9,3
