set,Dose,N,Effect
exp_n15,0.05471639,9,9
exp_n15,0.012311195,3,0
exp_n15,0.016651272,3,2
exp_n15,0.020954141,3,3
exp_n15,0.025103702,3,3
exp_n15,0.038111977,3,3
exp_n16,0,285,10
exp_n16,0.002439314,5,0
exp_n16,0.0050434,5,1
exp_n16,0.01040639,5,5
exp_n16,0.021666324,5,5
exp_n16,0.046051917,5,5
exp_n16,0.002284561,5,0
exp_n16,0.004546881,5,0
exp_n16,0.009766836,5,0
exp_n16,0.018739618,5,3
exp_n16,0.037583885,5,4
exp_n16,0.003797217,5,0
exp_n16,0.007755895,5,1
exp_n16,0.016383502,5,4
exp_n16,0.00148861,10,3
exp_n16,0.00510221,10,5
exp_n16,0.009646313,10,6
exp_n16,0.022121085,10,9
exp_n16,0.047599873,10,10
exp_n16,0.002953617,9,0
exp_n16,0.006132825,9,0
exp_n16,0.013164371,9,1
exp_n16,0.026995079,9,2
exp_n16,0.057003806,9,7
exp_n16,0.00264562,10,0
exp_n16,0.003461022,10,2
exp_n16,0.008566815,10,5
exp_n16,0.027207518,10,7
exp_n16,0.032397136,10,8
exp_n16,0.003733623,9,1
exp_n16,0.00694199,9,5
exp_n16,0.016762493,9,7
exp_n16,0.030895233,9,5
exp_n16,0.0596071,9,9
exp_n16,0.013026312,3,1
exp_n16,0.017711899,3,1
exp_n16,0.022345934,3,2
exp_n16,0.026830118,3,3
exp_n16,0.04088961,3,3
exp_n17,0,285,16
exp_n17,0.002364356,5,0
exp_n17,0.004650106,5,1
exp_n17,0.009398104,5,5
exp_n17,0.020880853,5,5
exp_n17,0.042351134,5,5
exp_n17,0.002167669,5,0
exp_n17,0.004368363,5,0
exp_n17,0.008961312,5,0
exp_n17,0.018446084,5,0
exp_n17,0.038697276,5,5
exp_n17,0.003611244,5,0
exp_n17,0.007317209,5,1
exp_n17,0.015136907,5,2
exp_n17,0.00150119,10,4
exp_n17,0.005295947,10,1
exp_n17,0.010496305,10,7
exp_n17,0.020906509,10,10
exp_n17,0.042621991,10,10
exp_n17,0.003079266,9,0
exp_n17,0.006319886,9,0
exp_n17,0.01225409,9,1
exp_n17,0.024984999,9,1
exp_n17,0.053479435,9,5
exp_n17,0.001661945,10,1
exp_n17,0.004498723,10,4
exp_n17,0.011285702,10,1
exp_n17,0.015049483,10,3
exp_n17,0.025582937,10,9
exp_n17,0.00328653,9,0
exp_n17,0.007168856,9,3
exp_n17,0.014428791,9,5
exp_n17,0.03500607,9,7
exp_n17,0.059480869,9,9
exp_n17,0.012685314,3,0
exp_n17,0.017252589,3,0
exp_n17,0.021762545,3,2
exp_n17,0.026130614,3,3
exp_n17,0.039766454,3,3
exp_n18,0,285,10
exp_n18,0.002596511,5,0
exp_n18,0.004989614,5,1
exp_n18,0.011580316,5,5
exp_n18,0.021260257,5,5
exp_n18,0.041810501,5,5
exp_n18,0.002236769,5,0
exp_n18,0.004388331,5,0
exp_n18,0.008823111,5,0
exp_n18,0.019143208,5,2
exp_n18,0.036913293,5,4
exp_n18,0.003676781,5,0
exp_n18,0.007441325,5,0
exp_n18,0.015517403,5,4
exp_n18,0.001696758,10,4
exp_n18,0.005037564,10,4
exp_n18,0.010704661,10,4
exp_n18,0.022625023,10,8
exp_n18,0.044679922,10,10
exp_n18,0.003014647,9,0
exp_n18,0.005945612,9,0
exp_n18,0.012969058,9,0
exp_n18,0.027560953,9,1
exp_n18,0.053347984,9,6
exp_n18,0.001127788,10,1
exp_n18,0.004387327,10,3
exp_n18,0.008840745,10,2
exp_n18,0.014397366,10,5
exp_n18,0.027559129,10,7
exp_n18,0.003737532,9,3
exp_n18,0.007342639,9,4
exp_n18,0.01508894,9,7
exp_n18,0.031635164,9,5
exp_n18,0.060806417,9,7
exp_n18,0.013132335,3,1
exp_n18,0.017837641,3,2
exp_n18,0.02253948,3,2
exp_n18,0.027055288,3,3
exp_n18,0.041149634,3,3
exp_n19,0,285,7
exp_n19,0.002464357,5,0
exp_n19,0.004524082,5,1
exp_n19,0.010077154,5,4
exp_n19,0.019981227,5,5
exp_n19,0.039118535,5,5
exp_n19,0.002167833,5,0
exp_n19,0.004266888,5,0
exp_n19,0.008809383,5,0
exp_n19,0.018220539,5,2
exp_n19,0.036728461,5,3
exp_n19,0.003593339,5,0
exp_n19,0.007623173,5,1
exp_n19,0.015147241,5,3
exp_n19,0.001663127,10,3
exp_n19,0.005403857,10,1
exp_n19,0.009954364,10,5
exp_n19,0.021601939,10,9
exp_n19,0.04104133,10,10
exp_n19,0.003112939,9,0
exp_n19,0.005968664,9,0
exp_n19,0.01307084,9,0
exp_n19,0.024693414,9,2
exp_n19,0.048178835,9,4
exp_n19,0.002053248,10,0
exp_n19,0.004748562,10,1
exp_n19,0.012086581,10,4
exp_n19,0.014884928,10,6
exp_n19,0.037462706,10,7
exp_n19,0.003561172,9,1
exp_n19,0.006193401,9,2
exp_n19,0.014636702,9,5
exp_n19,0.029697014,9,5
exp_n19,0.058165902,9,8
exp_n19,0.012448228,3,0
exp_n19,0.016876751,3,1
exp_n19,0.021248921,3,2
exp_n19,0.025478693,3,2
exp_n19,0.038698877,3,3
exp_n20,0,285,12
exp_n20,0.002410661,5,0
exp_n20,0.004973737,5,2
exp_n20,0.010464495,5,5
exp_n20,0.020648004,5,5
exp_n20,0.036931116,5,5
exp_n20,0.002171313,5,0
exp_n20,0.004069953,5,0
exp_n20,0.008738607,5,0
exp_n20,0.018116973,5,1
exp_n20,0.035663623,5,3
exp_n20,0.003752919,5,0
exp_n20,0.007267051,5,1
exp_n20,0.014536634,5,4
exp_n20,0.001408093,10,3
exp_n20,0.005267522,10,5
exp_n20,0.009760456,10,7
exp_n20,0.021494715,10,10
exp_n20,0.04499862,10,10
exp_n20,0.00293894,9,0
exp_n20,0.005649921,9,0
exp_n20,0.011542627,9,0
exp_n20,0.023456074,9,3
exp_n20,0.051197876,9,9
exp_n20,0.00234221,10,0
exp_n20,0.00431917,10,1
exp_n20,0.005686406,10,6
exp_n20,0.017817885,10,3
exp_n20,0.043217629,10,10
exp_n20,0.003304595,9,1
exp_n20,0.006943592,9,2
exp_n20,0.015241902,9,4
exp_n20,0.02946446,9,3
exp_n20,0.058157403,9,8
exp_n20,0.012371482,3,0
exp_n20,0.016762155,3,2
exp_n20,0.021087099,3,3
exp_n20,0.025265429,3,2
exp_n20,0.038332755,3,3
exp_n21,0,285,10
exp_n21,0.002326049,5,0
exp_n21,0.004877634,5,1
exp_n21,0.010033095,5,5
exp_n21,0.021904828,5,5
exp_n21,0.040999472,5,5
exp_n21,0.00221509,5,0
exp_n21,0.004763548,5,0
exp_n21,0.009390175,5,0
exp_n21,0.019343944,5,1
exp_n21,0.040304793,5,2
exp_n21,0.003758767,5,0
exp_n21,0.00800561,5,0
exp_n21,0.015653866,5,2
